# index, label, _pos
7209,"EXATAS, FITA","array([ 8.92006936, 22.84555432])"
7210,"KOPU, J","array([ 64.2039664 , -84.87504827])"
7211,"AZSANCHEZ, AD","array([ 34.29391404, -11.46164924])"
7212,"MOBIUS, A","array([31.09386333, -7.39122361])"
7213,"BIEHL, M","array([16.96930918, -1.18953356])"
7214,"OOSTERKAMP, TH","array([ 46.88689732, -46.87418571])"
7215,"DANOESASTRO, MWS","array([ 48.12679932, -49.62013553])"
7216,"ETO, M","array([ 49.94424398, -49.3365682 ])"
7217,"AUSTING, DG","array([ 44.08456932, -51.10054406])"
7218,"HONDA, T","array([ 49.20745294, -49.47376847])"
7219,"OSAFUNE, T","array([ 18.19790217, -71.12139401])"
7220,"ARIALDI, G","array([ 11.16442992, -53.44719627])"
7221,"RYCKAERT, J","array([ 11.32840111, -51.74506401])"
7222,"PAASCH, G","array([ 14.3502123 , -68.06981329])"
7223,"DOYLE, EMFRA","array([  31.07075722, -107.50183709])"
7224,"STOJKOVIC, B","array([ 39.07415128, -56.60882154])"
7225,"SONG, SH","array([ 43.69466058, -54.50798687])"
7226,"XIE, DCTYH","array([ 43.81171825, -51.66505279])"
7227,"MONROE, D","array([ 43.44028058, -52.34997207])"
7228,"CHALLET, D","array([ -0.33503551, -41.74819211])"
7229,"ESSEX, C","array([-139.05394571,   98.71628231])"
7230,"TORCINI, A","array([ 12.72777277, -16.08138866])"
7231,"CARTWRIGHT, JHE","array([-18.93669859,  15.3910161 ])"
7232,"PIRO, O","array([-16.10055114,   9.72589135])"
7233,"PRIMACK, H","array([ 29.42672333, -26.4597139 ])"
7234,"SMILANSKY, U","array([ 33.92505232, -21.65472951])"
7235,"SHIOKAWA, K","array([-181.5664775 ,   30.12626472])"
7236,"CREUTZ, M","array([137.96155099, 140.96974762])"
7237,"HALPERN, K","array([ -27.44125584, -275.61910558])"
7238,"SCOCCOLA, NN","array([ -33.34813485, -291.4300897 ])"
7239,"BES, DR","array([ -31.42606255, -290.84860242])"
7240,"EHOLZER, W","array([  3.28272718, -53.24828734])"
7241,"FEHER, L","array([  4.55514495, -50.62029243])"
7242,"SREENIVASAN, KR","array([-132.55751531,  171.64141748])"
7243,"SAHAY, A","array([-131.13293575,  170.28781378])"
7244,"NANOPOULOS, DV","array([-18.47390262, -97.10822347])"
7245,"STECK, H","array([ 69.25284863, -12.90633897])"
7246,"MARCHEWKA, A","array([-174.45957428,   22.40175786])"
7247,"SCHUSS, Z","array([-174.54658874,   24.34366541])"
7248,"FLORES, JC","array([ 30.88989586, -31.49215346])"
7249,"PINAYA, DVDMRP","array([ 34.359867  , -97.32468573])"
7250,"NOVIKOV, SP","array([ 47.24562147, 192.79073611])"
7251,"MALTSEV, AY","array([ 46.42780906, 190.96766907])"
7252,"LAM, C","array([222.63731685, 148.74502255])"
7253,"SHIN, FG","array([223.84709687, 147.18539032])"
7254,"EMILIANI, V","array([ 45.54417   , -11.71753156])"
7255,"FROVA, A","array([ 46.45308299, -12.88676161])"
7256,"CAPASSO, F","array([ 37.12179225, -30.94202171])"
7257,"GANTMAKHER, V","array([  66.88709943, -289.27940423])"
7258,"DOYE, J","array([-35.87851711, -46.60554869])"
7259,"WALES, D","array([-43.8551084 , -47.13081681])"
7260,"REINALDOFALAGAN, M","array([24.44402036, -2.68934771])"
7261,"MCKINNEY, JC","array([ 39.04686253, -36.46054017])"
7262,"DIELEMAN, P","array([ 64.88783218, -61.14690716])"
7263,"BUKKEMS, HG","array([ 64.33214195, -60.52260226])"
7264,"SCHICKE, M","array([ 64.0310476 , -61.48703809])"
7265,"GUNDLACH, KH","array([ 64.67249841, -62.07386299])"
7266,"BURKI, J","array([ 20.81234321, -45.37192999])"
7267,"KRASAVIN, AV","array([ 27.09057812, -50.26104511])"
7268,"HOLZMANN, M","array([ 53.19249018, -26.27471454])"
7269,"AUDRETSCH, J","array([ 61.60367651, -16.35789061])"
7270,"GAZZILLO, D","array([ 17.10264277, -12.30439146])"
7271,"CARSUGHI, F","array([ 16.57491764, -12.84787368])"
7272,"V, IS","array([-124.20979713,  133.79811728])"
7273,"DYUGAEV, AM","array([ 12.04301176, -62.09833829])"
7274,"KRESIN, VZ","array([ 14.35344627, -72.81996246])"
7275,"DER, MHOFP","array([31.30340225, 14.97741031])"
7276,"TAKENO, S","array([ 25.79046745, -42.21449488])"
7277,"RIETMAN, R","array([-12.69780516, -32.68894838])"
7278,"ALARCON, T","array([-3.82988511, -1.29691994])"
7279,"ANGELIS, GFD","array([ 34.41043142, -10.12881455])"
7280,"SIDORAVICIUS, V","array([36.16391342, -6.42326159])"
7281,"KORENBLIT, IY","array([ 18.9268996 , -19.27177331])"
7282,"SOLOVYEV, IV","array([ 27.38128628, -74.25623037])"
7283,"MOVSHOVICH, R","array([ 31.53502949, -69.80201493])"
7284,"HUBBARD, MA","array([ 26.4862382 , -69.33391335])"
7285,"SARRAO, JL","array([ 27.39214082, -70.63417729])"
7286,"QUINTERO, NR","array([ 15.71020031, -33.10691407])"
7287,"AL, SSBE","array([271.58956617,   2.07118351])"
7288,"IACOMELLI, G","array([66.45830993,  8.10116259])"
7289,"KOTZLER, J","array([246.80715986,  74.04864352])"
7290,"KAUFMANN, M","array([245.60968667,  72.17707723])"
7291,"MENNE, R","array([ 74.32447789, -16.9820116 ])"
7292,"LAI, E","array([ 19.83196333, -59.87084563])"
7293,"MEHLIG, B","array([ 34.54676243, -21.5526779 ])"
7294,"PASTORSATORRAS, R","array([ -0.20706745, -17.96043521])"
7295,"VERA, F","array([ 276.1114216 , -121.02928104])"
7296,"BARTICEVIC, Z","array([ 277.86579774, -120.1791077 ])"
7297,"WASILEWSKI, Z","array([ 63.62151266, -32.3955845 ])"
7298,"MCNAMARA, D","array([  1.33285576, -43.65073526])"
7299,"TANUMA, Y","array([ 33.79962876, -64.41851099])"
7300,"HORBACH, ML","array([ 48.18820448, -66.96801758])"
7301,"SLANINA, F","array([ -6.48764017, -45.15037692])"
7302,"STOCKBURGER, J","array([ 16.07999908, -38.97158003])"
7303,"CAMPUZANO, J","array([ 26.34822498, -63.40642598])"
7304,"CARLSON, EW","array([ 18.64961944, -53.67310883])"
7305,"BRAY, A","array([-2.21935277, -8.90590277])"
7306,"LEBOWITZ, J","array([  5.37966026, -14.90754977])"
7307,"KURKIJARVI, J","array([ 53.39198868, -39.54655483])"
7308,"KILIAN, R","array([  5.7409306 , -76.35384628])"
7309,"KRIVENKO, S","array([  5.64415754, -75.51439659])"
7310,"TANAMOTO, T","array([ 64.11218948, -45.05825568])"
7311,"SINAWI, S","array([ 22.65387381, -73.70145361])"
7312,"TANIGUCHI, S","array([ 22.41770678, -74.40151503])"
7313,"ISOBE, M","array([ 24.3600771 , -78.51275886])"
7314,"UEDA, Y","array([ 24.00736286, -78.96512687])"
7315,"AKIS, R","array([53.18421099, 21.7120118 ])"
7316,"DEBRAY, P","array([53.97403045, 20.21888941])"
7317,"FOWLER, M","array([  9.58199671, -15.78797128])"
7318,"SPRINZAK, D","array([ 48.81773323, -50.68961305])"
7319,"JR, JSH","array([ 51.8980827 , -39.42081548])"
7320,"DOLGOPOLOV, VT","array([ 65.87991526, -44.60892891])"
7321,"SHASHKIN, AA","array([ 66.72707735, -44.06682432])"
7322,"DEVIATOV, EV","array([ 67.12058661, -42.63586963])"
7323,"HASTREITER, F","array([ 66.3158885 , -43.26533402])"
7324,"CAMPMAN, KL","array([ 68.67493878, -41.8326817 ])"
7325,"SEAR, R","array([-31.61759807, -46.92353809])"
7326,"FRENKEL, D","array([-21.22815533, -45.27663284])"
7327,"SEVIOUR, R","array([ 40.85419516, -47.09305318])"
7328,"VAUGHN, MT","array([ 45.19142058, -92.54577163])"
7329,"HOLDOM, B","array([281.92186309,  33.77875334])"
7330,"GREEN, F","array([  2.78772865, -75.2731993 ])"
7331,"CARMELO, JC","array([ 34.70718039, -49.03432264])"
7332,"DUQUE, D","array([26.25260785, -2.51973193])"
7333,"DENDER, IAZDC","array([ 32.46161236, -64.78328386])"
7334,"IKEDA, K","array([  9.68583365, -84.42564533])"
7335,"LEPRI, S","array([ 6.36261734, -7.603881  ])"
7336,"RUBI, RPJM","array([ 63.51508802, 190.55168151])"
7337,"CASSI, D","array([38.23341621, -3.2677032 ])"
7338,"MCCONNELL, AW","array([ 32.92116261, -90.76665979])"
7339,"DABKOWSKI, A","array([ 33.45564545, -90.05545775])"
7340,"DABKOWSKA, HA","array([ 32.62780657, -91.71665016])"
7341,"COOPER, JR","array([ 33.51910139, -79.77682198])"
7342,"KNYSH, S","array([ 34.70394663, -56.2958435 ])"
7343,"DALIDOVICH, D","array([ 33.65276967, -55.09162918])"
7344,"LAVALLE, C","array([ 10.79908891, -48.72634393])"
7345,"AKSENOV, VL","array([ 26.14652282, -77.12296023])"
7346,"QUEMERAIS, P","array([ -8.50008849, -54.2136667 ])"
7347,"HANEIN, Y","array([ 44.96003063, -62.13793939])"
7348,"RASHKEEV, SN","array([122.19546657, 176.43101004])"
7349,"ANDERSON, FG","array([ 67.06366282, -68.56247631])"
7350,"JECKELMANN, E","array([ 21.93407022, -50.48545088])"
7351,"MIREBEAU, I","array([ 20.83099708, -80.5352889 ])"
7352,"LIMPIJUMNONG, S","array([121.65991313, 178.43151573])"
7353,"JASKOLSKI, W","array([ 94.01032217, -76.26105107])"
7354,"BRYANT, GW","array([ 87.24875334, -73.50090557])"
7355,"LYUKSYUTOV, IF","array([ 27.22878711, -35.60626043])"
7356,"POKROVSKY, V","array([ 19.00664562, -33.21881836])"
7357,"LEVINE, AJ","array([-11.31704063, -38.72156609])"
7358,"MATSUDA, M","array([ 19.58821912, -71.48506499])"
7359,"KATSUMATA, K","array([ 12.72865802, -66.19379018])"
7360,"YOKOO, T","array([ 17.78397263, -71.64738448])"
7361,"SHAPIRO, SM","array([ 18.81162058, -74.37159454])"
7362,"ZARESTKY, JL","array([ 20.10331748, -70.09418567])"
7363,"CRETEGNY, T","array([ 24.33475647, -23.03951991])"
7364,"CHAVES, CM","array([ 14.88536992, -42.84563977])"
7365,"CITRIN, PH","array([ 71.30986936, -56.68942811])"
7366,"RAPAPA, PN","array([ -8.47026944, -25.48985259])"
7367,"BOSKE, T","array([ 20.87132032, -79.96456381])"
7368,"KNAUFF, O","array([ 20.51764677, -79.31824889])"
7369,"RUCK, K","array([ 20.42300941, -80.94290419])"
7370,"GOLDEN, MS","array([ 24.44025343, -77.87682168])"
7371,"KRABBES, G","array([ 23.80490313, -84.33587872])"
7372,"OSAFUNE, JFT","array([ 19.46391091, -79.78601715])"
7373,"JUOZAPAVICIUS, A","array([-11.15057079, -74.83502511])"
7374,"CAPRARA, S","array([ -0.2426999 , -70.52767042])"
7375,"ROSENGREN, A","array([-15.38090523, -79.83039133])"
7376,"CHOW, CC","array([ -7.46894764, -30.96154826])"
7377,"GRIVIN, SM","array([ 32.49443366, -53.47735171])"
7378,"OHLENBUSCH, HM","array([16.32389794,  2.66732319])"
7379,"DUBERTRET, B","array([15.1225753 ,  3.05135535])"
7380,"GITTES, F","array([-22.17874129, -30.29151749])"
7381,"SCHNURR, B","array([-23.04168879, -30.25726877])"
7382,"SCHMIDT, CF","array([-22.4450435 , -29.46028855])"
7383,"AOKI, Y","array([ -5.20852143, -76.03820292])"
7384,"URAKAWA, J","array([ -4.36718631, -75.80154411])"
7385,"SUGAWARA, H","array([ -1.43474513, -76.38877617])"
7386,"SATO, H","array([ 5.01444472e-02, -6.74274737e+01])"
7387,"FUKUHARA, T","array([  0.74293817, -80.46471825])"
7388,"MAEZAWA, K","array([ -4.59981089, -76.68269179])"
7389,"GAJEWSKI, SSDA","array([ 38.37870128, -84.31609958])"
7390,"JARVIS, MR","array([ 69.28545864, -60.00396804])"
7391,"WHITE, ID","array([ 68.97033757, -57.09943105])"
7392,"ROSE, PD","array([ 52.78547461, -40.23159916])"
7393,"VAVILOV, M","array([ 24.65756912, -36.47118945])"
7394,"OBRADO, E","array([248.17793506, 114.50624985])"
7395,"GONZALEZCOMAS, A","array([246.84844626, 115.66098432])"
7396,"MANOSA, L","array([245.82785403, 114.31826361])"
7397,"SCHECHTER, M","array([ 27.13359218, -26.8571226 ])"
7398,"YUSOF, Z","array([ 38.05309951, -74.69447987])"
7399,"ZASADZINSKI, JF","array([ 36.80566486, -73.61122115])"
7400,"PENG, W","array([ 11.15406038, -40.74754444])"
7401,"FLOREK, W","array([ 216.18401839, -198.35219739])"
7402,"YU, ZG","array([ 33.53914204, -50.30592195])"
7403,"RAO, XS","array([ 36.6572105 , -40.92123505])"
7404,"KENT, AD","array([ 42.49960932, -63.76356566])"
7405,"PEPIN, C","array([ 18.45976446, -57.39160632])"
7406,"LAVAGNA, M","array([  8.58389496, -59.35407921])"
7407,"ZHANG, GP","array([ 59.60428759, -37.36422902])"
7408,"URAZAEV, OV","array([  5.46932782, -94.99186448])"
7409,"SCHINDLMAYR, A","array([ 78.67702305, -61.51559957])"
7410,"KIM, YE","array([  14.36127896, -288.68426491])"
7411,"ZUBAREV, AL","array([  16.13723866, -289.45611451])"
7412,"LANGER, JS","array([-34.40091036, -64.4266768 ])"
7413,"KAWANO, K","array([ -7.24460796, -67.51521374])"
7414,"LOMBARDI, G","array([ 241.35103787, -191.62114618])"
7415,"SAPIENZA, MGTDRL","array([  5.47418748, -63.56356963])"
7416,"SEBA, P","array([25.40614543, -9.87837872])"
7417,"SADREEV, AF","array([ 32.28550691, -11.74228395])"
7418,"STREDA, P","array([28.3922396 , -2.81285624])"
7419,"FEHER, P","array([27.74266445, -3.23390524])"
7420,"BENTOSELA, F","array([20.17025916, 11.88324712])"
7421,"ZAGREBNOV, VA","array([19.38944029, 11.19355426])"
7422,"MITRA, PP","array([ 17.49012593, -41.14171432])"
7423,"RUBIN, NA","array([-17.7235599 , -76.14257093])"
7424,"DAHM, AJ","array([ -9.92054369, -70.63884879])"
7425,"LAY, TS","array([ 48.90708771, -69.57046121])"
7426,"WERNER, CR","array([ 31.04700983, -34.09657432])"
7427,"ROMAN, JM","array([ 15.72701992, -35.27160646])"
7428,"DURIN, G","array([  7.95016407, -27.88906583])"
7429,"TRAMMELL, GT","array([ 47.92104594, -18.28895873])"
7430,"HANNON, JP","array([ 47.65616314, -17.43213738])"
7431,"LIN, P","array([ 27.52895172, -60.82022992])"
7432,"LABORATORY, PHN","array([ 30.67357293, -62.0998253 ])"
7433,"ALAMOS, L","array([ 29.3066123 , -63.56267712])"
7434,"DAS, J","array([ -5.38119836, -12.90702259])"
7435,"GE, X","array([ -4.1656307 , -52.89539477])"
7436,"POPOVA, MN","array([ 26.72540707, -84.01823219])"
7437,"SUSHKOV, AB","array([ 26.14807569, -84.46744733])"
7438,"GOLUBCHIK, SA","array([ 26.97574704, -83.50130982])"
7439,"VASILEV, AN","array([ 27.54430374, -78.33776997])"
7440,"LEONYUK, LL","array([ 27.95596742, -88.3495854 ])"
7441,"CAMPOS, PRA","array([-69.17736183, -15.46338251])"
7442,"ESPOSITO, R","array([-20.78068534, -10.17346824])"
7443,"MARRA, R","array([-19.91208154,  -9.40597397])"
7444,"KOTELYANSKII, M","array([253.02249319, -54.67384813])"
7445,"KUMAR, SK","array([254.96215226, -54.73437681])"
7446,"MANNELLA, R","array([-19.11571641, -34.73645752])"
7447,"SILVEIRA, RD","array([ -4.33864179, -42.70802545])"
7448,"BADER, J","array([-19.33309597, -54.91111583])"
7449,"NOECKEL, JU","array([ 36.58798977, -36.58224445])"
7450,"WAGNER, F","array([ 54.42003982, -52.6029346 ])"
7451,"LALOYAUX, T","array([ 58.70911838, -52.22835303])"
7452,"ADHIKARI, SK","array([ 82.22969571, -44.3186211 ])"
7453,"SCHMIT, C","array([67.97740882,  9.548953  ])"
7454,"TSUI, OKC","array([ 11.85823275, -81.21992328])"
7455,"MOCHRIE, SGJ","array([  5.30976575, -89.9450452 ])"
7456,"BERMAN, LE","array([  4.52626886, -88.66267817])"
7457,"PYKHTIN, MV","array([ 63.79940806, -65.30530871])"
7458,"YAN, KK","array([ 71.20068485, -36.16180157])"
7459,"WAN, KY","array([ 70.56053273, -35.3943694 ])"
7460,"SIU, LW","array([ 70.86752401, -37.08470874])"
7461,"YAKHOT, V","array([61.07847306, 10.67905845])"
7462,"BROWN, BA","array([50.3495454 , -1.80248531])"
7463,"ZELEVINSKY, V","array([5.11808557e+01, 1.45895991e-02])"
7464,"HILGENFELDT, S","array([24.96391708,  7.6334239 ])"
7465,"LOHSE, D","array([22.41299924, -1.17164155])"
7466,"ZOMACK, M","array([26.21747264,  7.64148389])"
7467,"RUBIN, JL","array([156.47746427, 141.59913745])"
7468,"DUCLOS, P","array([21.95386011,  8.25829107])"
7469,"MELLER, B","array([21.88277277,  9.83766125])"
7470,"GODINA, JJ","array([283.12534947,  59.17847967])"
7471,"OKTAY, MB","array([284.82769062,  59.29319314])"
7472,"SCHERRER, RJ","array([ 83.73944177, -92.6924481 ])"
7473,"VILENKIN, A","array([ 78.1523433 , -87.41783061])"
7474,"BONANNO, A","array([ 58.65864593, -25.19648227])"
7475,"GURBATOV, SN","array([16.19860282, -7.1669225 ])"
7476,"SIMDYANKIN, SI","array([15.77845643, -2.57962849])"
7477,"TOTH, G","array([ 21.20280484, -10.57665253])"
7478,"OLSHANSKI, G","array([-210.88104834,  -76.62915943])"
7479,"PATRIARCA, M","array([ 51.52226387, -17.7009602 ])"
7480,"CALARCO, T","array([ 50.01617668, -30.3438658 ])"
7481,"MENSKY, MB","array([ 52.32214173, -18.1396815 ])"
7482,"BOYA, LJ","array([101.22176485, -67.95224499])"
7483,"SEGUISANTONJA, AJ","array([100.9529989 , -66.76023545])"
7484,"VILA, FJ","array([ 99.6643507 , -67.04670106])"
7485,"BUKS, E","array([ 48.93908612, -62.01573421])"
7486,"SCHUSTER, R","array([ 53.1302427 , -64.98022839])"
7487,"LOFWANDER, T","array([ 63.22661048, -53.98848498])"
7488,"JOHANSSON, G","array([ 62.02012621, -56.33189636])"
7489,"SCRUCCA, CA","array([-26.81243115, -54.39742566])"
7490,"ZHONG, JX","array([ 24.23006867, -18.37651373])"
7491,"KLAR, PJ","array([ 74.95704711, -88.6753594 ])"
7492,"WOLVERSON, D","array([ 75.45009956, -89.45940524])"
7493,"ASHENFORD, DE","array([ 77.02679683, -88.33526587])"
7494,"LUNN, B","array([ 76.39237481, -87.33419297])"
7495,"WANG, K","array([23.68733916, -7.75536528])"
7496,"LI, T","array([24.61937088, -7.79599854])"
7497,"QIN, G","array([24.34679934, -6.75412076])"
7498,"ALLEN, S","array([  6.57786303, -66.24463268])"
7499,"TOUCHETTE, H","array([  6.95420382, -69.68411664])"
7500,"RAYMOND, S","array([ 26.90692525, -72.54057088])"
7501,"RESSOUCHE, E","array([ 16.85130834, -72.03616407])"
7502,"ZALIZNYAK, I","array([ 17.44590584, -72.31458342])"
7503,"ERWIN, R","array([ 19.94325216, -71.95076992])"
7504,"DINSMORE, AD","array([-11.79151532, -23.86291512])"
7505,"WONG, DT","array([-11.2884138 , -23.09794164])"
7506,"YODH, AG","array([-10.73137154, -23.92746048])"
7507,"KRAEMER, A","array([-212.27299653,   15.18591166])"
7508,"DIAZHERRERA, E","array([-212.77173876,   12.97197376])"
7509,"FELDMANN, H","array([ -4.92553526, -47.60733822])"
7510,"RODNEY, D","array([ 21.15322275, -30.40597817])"
7511,"HAMEDANI, N","array([-12.1427237 , -72.25166125])"
7512,"SEYEDALLAEI, H","array([-12.69503652, -73.67204978])"
7513,"SHAHREZAEI, V","array([-11.70166121, -73.9125528 ])"
7514,"YAHYANEJAD, M","array([-11.64813218, -72.9837277 ])"
7515,"YAN, WX","array([ 48.13362148, -13.19930977])"
7516,"TYLER, AW","array([ 27.64712439, -80.77550892])"
7517,"ANDO, Y","array([ 27.05283378, -68.73053997])"
7518,"PASSNER, A","array([ 23.49789712, -74.09807935])"
7519,"MACKENZIE, AP","array([ 27.02628756, -79.83104799])"
7520,"LABORDE, O","array([ 25.97089125, -72.83035224])"
7521,"KUNDU, A","array([  4.4010384 , -57.79953676])"
7522,"LUTZ, HO","array([-209.98082449, -162.43380346])"
7523,"LILLY, MP","array([ 56.07625691, -61.84597049])"
7524,"LORENZ, CD","array([ 16.56042505, -13.64045186])"
7525,"PETERSON, MA","array([138.13893115, 187.78310498])"
7526,"NUNEZ, JJR","array([-13.39152689, -46.63685094])"
7527,"GOSSMANN, UJ","array([ 74.51271477, -18.10499756])"
7528,"KAUKONEN, M","array([ 60.06631348, -93.23739945])"
7529,"SITCH, PK","array([ 59.49144087, -94.13937093])"
7530,"JUNGNICKEL, G","array([ 58.55717562, -94.53406105])"
7531,"POREZAG, D","array([ 59.07035272, -92.79235264])"
7532,"FRAUENHEIM, T","array([ 58.29890783, -93.47975088])"
7533,"ALBERT, TD","array([-17.46751698, 201.9232566 ])"
7534,"FLUME, R","array([-16.01327181, 200.01448075])"
7535,"RUHLIG, K","array([-15.79283593, 201.68389147])"
7536,"DRICHKO, IL","array([ 73.11880598, -42.76224145])"
7537,"DIAKONOV, AM","array([ 72.34921357, -42.43858055])"
7538,"KAGAN, VD","array([ 74.14027992, -44.2853402 ])"
7539,"KRESHCHUK, AM","array([ 77.5931526, -42.2296066])"
7540,"POLYANSKAYA, TA","array([ 78.43055279, -41.80319155])"
7541,"SAVELEV, IG","array([ 78.16583839, -42.92319192])"
7542,"SMIRNOV, IY","array([ 73.03783077, -42.01999874])"
7543,"SUSLOV, AV","array([ 77.72659261, -41.23209793])"
7544,"DALDOSS, G","array([ -8.73927559, -60.95915122])"
7545,"MAYAFFRE, H","array([ 19.13292797, -77.75381514])"
7546,"AUBANSENZIER, P","array([ 16.30648843, -78.78520176])"
7547,"JEROME, D","array([ 19.83404242, -81.45499488])"
7548,"KYRIAKIDIS, J","array([ 36.34889413, -45.43087025])"
7549,"BRINCKMANN, J","array([ 23.19438744, -49.02454719])"
7550,"VAZQUEZ, A","array([48.69741211, 28.82621303])"
7551,"SOTOLONGOCOSTA, O","array([40.77741862, 24.47403111])"
7552,"BROUERS, F","array([54.98445505, 23.91105075])"
7553,"HAVANA, LU","array([48.42579179, 26.91414145])"
7554,"EK, JV","array([ 88.40665023, -46.23288439])"
7555,"GALLEGO, R","array([-18.25306436,   9.89096339])"
7556,"SCHOTTKY, B","array([-44.2015824 , -41.70158026])"
7557,"ANDRES, PLD","array([ 61.46713328, -29.50958123])"
7558,"QUAADE, U","array([ 40.41712871, -49.67351086])"
7559,"GREY, F","array([ 40.92918173, -50.2003948 ])"
7560,"PHILLIPSON, SJ","array([  4.85970554, -21.81368555])"
7561,"PASSERONE, D","array([ 21.16357958, -50.54491001])"
7562,"OHLSSON, BJ","array([ 58.37453705, -80.16283811])"
7563,"MILLER, MS","array([ 57.45534449, -80.73092073])"
7564,"SCHNEIDER, J","array([ 68.20925411, -10.19874805])"
7565,"SOCOLAR, JES","array([-236.83514534, -116.6159564 ])"
7566,"ZHANG, YB","array([ 69.38899867, -44.61427894])"
7567,"REUTER, K","array([ 72.60225061, -27.3838433 ])"
7568,"SESTOVIC, D","array([ 68.40887055, -29.10595982])"
7569,"ANDREEV, A","array([ 34.6626243 , -31.85962827])"
7570,"MOHANTY, P","array([105.19321769, 190.60724525])"
7571,"WEBB, RA","array([107.26587735, 190.73009673])"
7572,"WEBB, EMQJRA","array([103.14458706, 190.50440069])"
7573,"TOKE, C","array([-1.87810828, -6.73614908])"
7574,"PIRATI, A","array([34.82027908, -1.912329  ])"
7575,"REGINA, S","array([35.45713802, -2.81861453])"
7576,"FREITAS, PJ","array([ 26.413767  , -58.13254175])"
7577,"CHOPRA, N","array([ 49.76949896, -51.06285535])"
7578,"RINZLER, A","array([ 49.93894456, -50.06892379])"
7579,"GRIFFITHS, TG","array([ 51.29661055, -50.9189792 ])"
7580,"DUXBURY, CFMPM","array([-17.21289336, -50.5458015 ])"
7581,"CIUCHI, MCS","array([ -4.61422905, -54.83901935])"
7582,"GRIMALDI, C","array([  4.58821659, -54.14845349])"
7583,"CASTILLA, G","array([ 40.14530467, -63.53463024])"
7584,"STEEL, MJ","array([ 78.5131754, -21.2786166])"
7585,"DURY, CM","array([19.25356544, -4.56314441])"
7586,"MOSS, JL","array([19.38686611, -3.69470958])"
7587,"NAKAGAWA, M","array([18.36524192, -3.81586158])"
7588,"FEDICHEV, PO","array([ 63.59046646, -22.55335312])"
7589,"WALRAVEN, JTM","array([ 66.15691612, -20.25367501])"
7590,"PETHICK, CJ","array([ 45.113029  , -29.85555955])"
7591,"GORYACHEV, SB","array([203.29312616,  67.45298106])"
7592,"BENNEMANN, C","array([-13.78067179, -27.44534145])"
7593,"DUENWEG, B","array([-18.38569526, -27.98598762])"
7594,"CANFIELD, SSPC","array([ 35.30887292, -92.37779959])"
7595,"LOSEV, A","array([-106.0394749 ,  142.58519477])"
7596,"BABALIEVSKI, F","array([-107.98354633,  143.02424992])"
7597,"BRACKEN, AJ","array([ -6.70314663, -53.7730412 ])"
7598,"WANG, TC","array([ 162.53784685, -247.23012892])"
7599,"SCHUBERT, S","array([ 83.1560693 , 223.18959036])"
7600,"HOFFMANN, KH","array([ 82.81371411, 221.30908271])"
7601,"HOHENESTER, U","array([ 68.16036804, -30.1637826 ])"
7602,"KOCEVAR, P","array([ 67.59392775, -29.6964809 ])"
7603,"YOSHIDA, N","array([ 39.60373515, -57.32924776])"
7604,"SANCHEZ, C","array([173.14922731, 129.70709416])"
7605,"LEIVA, EPM","array([175.1061251 , 129.77895276])"
7606,"BERG, J","array([-0.2283929 , -1.61332076])"
7607,"WANG, NL","array([ 22.71154563, -78.46032136])"
7608,"HWANG, HY","array([ 13.79482109, -68.27197246])"
7609,"MOOK, AHA","array([ 15.15761997, -71.45461409])"
7610,"CHOU, LK","array([ -8.36501695, -76.84218894])"
7611,"FANUCCI, GE","array([ -9.82404151, -76.21335322])"
7612,"MAEGAWA, S","array([ -9.7612442 , -75.33372676])"
7613,"BELL, NS","array([ -8.86185929, -75.29092529])"
7614,"ADAIR, JH","array([ -9.16890655, -76.98680566])"
7615,"KRZYSTEK, J","array([ -9.01650688, -76.1229419 ])"
7616,"BRUNEL, LC","array([ -8.18806224, -76.05494961])"
7617,"GUPTASARMA, P","array([ 28.44534874, -69.71278199])"
7618,"HINKS, DG","array([ 29.8111751 , -69.08441618])"
7619,"TSUKANO, M","array([  3.08484912, -67.562157  ])"
7620,"BIRD, DM","array([ 39.77001881, -30.02524084])"
7621,"HUMPHREYS, SE","array([ 39.1189528 , -29.89823847])"
7622,"DANTZIG, J","array([  9.64856334, -72.68868293])"
7623,"ASCH, J","array([21.43198904,  1.78760688])"
7624,"KNAUF, A","array([20.8642031 , -9.15488212])"
7625,"DARUKA, I","array([ 14.73982268, -41.38918908])"
7626,"GRIBAKINA, AA","array([ 42.66957573, -27.02337055])"
7627,"BAHLOULI, H","array([70.85057396,  8.84470693])"
7628,"ULREICH, S","array([-22.38515907, -49.64272304])"
7629,"MILANI, E","array([ -2.16360402, -89.84546881])"
7630,"NAUMOV, II","array([  61.94332826, -104.77513105])"
7631,"KHLOPKIN, MN","array([  62.56612548, -105.79845201])"
7632,"KHROMOV, KY","array([  61.21041869, -105.84333665])"
7633,"CHEONG, SW","array([ 27.87453175, -74.56300596])"
7634,"KOEPPEN, M","array([ 17.47937897, -88.6203444 ])"
7635,"PANKERT, D","array([ 16.65884923, -87.94574407])"
7636,"LANG, M","array([ 17.84950991, -88.11614545])"
7637,"CHUDNOVSKY, EM","array([ 12.89101677, -41.09649624])"
7638,"BRAVI, C","array([  9.84368599, -69.2070884 ])"
7639,"MECHKOV, S","array([-16.35814843, -67.76802878])"
7640,"ADAMIAN, GG","array([271.93463862,  21.57581445])"
7641,"ANTONENKO, NV","array([271.53418099,  19.88714274])"
